,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
2062,ISE1233-001,ISE1233,1,융합시스템공학개론,1,3.0,전공필수,[      0 4128768       0       0       0       0       0],카카니비제이,상대평가,English
2063,ISE1234-001,ISE1234,1,엔지니어링 컨셉드로잉,1,3.0,전공필수,[     0      0      0      0 516096      0      0],세라오,상대평가,English
2064,ISE2134-001,ISE2134,1,이동체 구조해석,2,3.0,전공필수,[     0 458752      0 458752      0      0      0],세라오,상대평가,English
2065,ISE2135-001,ISE2135,1,기초전자회로 이론 및 실습,2,3.0,전공필수,[15360     0     0 15360     0     0     0],후마윤,상대평가,English
2066,ISE2232-001,ISE2232,1,컴퓨터네트워크,2,3.0,전공선택,[516096 516096      0      0      0      0      0],메히디,상대평가,English
2067,ISE2234-001,ISE2234,1,지능형이동체설계,2,3.0,전공선택,[    0     0     0     0 64512     0     0],조종두,상대평가,"영어,English"
2068,ISE2235-001,ISE2235,1,자료구조,2,3.0,전공필수,[    0 57456     0     0 57456     0     0],후마윤,상대평가,English
2069,ISE2236-001,ISE2236,1,디지털논리및설계,2,3.0,전공선택,[      0       0 4128768       0       0       0       0],권장우,상대평가,"영어,English"
2070,ISE3132-001,ISE3132,1,임베디드시스템설계,3,3.0,전공선택,[  0   0 126 126   0   0   0],메히디,상대평가,English
2071,ISE3133-001,ISE3133,1,데이터통신,3,3.0,전공선택,[126   0 126   0   0   0   0],카카니비제이,상대평가,English
2072,ISE3137-001,ISE3137,1,운영시스템,3,3.0,전공선택,[    0 57344 57344     0     0     0     0],메히디,상대평가,English
2073,ISE3140-001,ISE3140,1,VIP(이론),3,3.0,전공필수,[       0        0 33030144        0        0        0        0],"카카니비제이,메히디,세라오",절대평가,English
2074,ISE3141-001,ISE3141,1,VIP(실습),3,1.0,전공필수,[  0   0   0 240   0   0   0],"카카니비제이,메히디,세라오",절대평가,English
2075,ISE3235-001,ISE3235,1,데이터베이스 설계,3,3.0,전공선택,[516096      0      0      0      0      0      0],샤페눌,상대평가,English
2076,ISE4133-001,ISE4133,1,소프트웨어공학,3,3.0,전공필수,[126   0 126   0   0   0   0],카카니비제이,상대평가,English
2077,ISE4134-001,ISE4134,1,스마트모빌리티서비스,3,3.0,전공선택,[  0 910 910   0   0   0   0],메히디,상대평가,English
2078,ISE4137-001,ISE4137,1,컴퓨터 보안,4,3.0,전공선택,[57344     0 57344     0     0     0     0],카카니비제이,상대평가,English
