,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
228,BIO2103-001,BIO2103,1,생물유기화학,2,3.0,전공선택,[     0 465920      0 465920      0      0      0],배성호,상대평가, ,4.82,생명과학과-생명과학,"{'화': '5동506', '목': '5동506'}"
229,BIO2105-001,BIO2105,1,분류생태학 종합실험,2,3.0,전공선택,[      0       0       0       0 2096640       0       0],"조강현,민기식,조장천",절대평가,"영어,English",,생명과학과-생명과학,{'금': '5북413'}
230,BIO2105-002,BIO2105,2,분류생태학 종합실험,2,3.0,전공선택,[      0       0       0       0 2096640       0       0],"조강현,민기식,조장천",절대평가,"영어,English",,기타-원어강의,{'금': '5북525'}
231,BIO2108-001,BIO2108,1,세포생물학,2,3.0,전공필수,[1008 1008    0    0    0    0    0],김정화,상대평가, ,4.1,생명과학과-생명과학,"{'월': '5동506', '화': '5동506'}"
232,BIO2109-001,BIO2109,1,동물생리학,2,3.0,전공필수,[126   0   0 126   0   0   0],이창중,상대평가, ,4.75,생명과학과-생명과학,"{'월': '5동506', '목': '5동506'}"
233,BIO2110-001,BIO2110,1,야외생물학실습,2,1.0,전공선택,[  0   0   0   0   0 240   0],민기식,절대평가,"영어,English",,기타-원어강의,{'토': '5북413'}
234,BIO3101-001,BIO3101,1,생물학연구방법실습 1,3,2.0,전공선택,[     0      0      0      0      0 130560      0],이한솔,절대평가,"영어,English",,생명과학과-생명과학,{'토': '5북413'}
235,BIO3102-001,BIO3102,1,분자생물학,3,3.0,전공선택,[   0 7168 7168    0    0    0    0],"배성호,김정화",상대평가, ,3.82,생명과학과-생명과학,"{'화': '5서365', '수': '5서365'}"
236,BIO3103-001,BIO3103,1,발생생물학,3,3.0,전공선택,[   0  112    0 7168    0    0    0],이한솔,상대평가, ,4.42,생명과학과-생명과학,"{'화': '5서365', '목': '5동115'}"
237,BIO3105-001,BIO3105,1,동물계통분류학,3,3.0,전공선택,[  0 896 896   0   0   0   0],민기식,상대평가, ,4.25,생명과학과-생명과학,"{'화': '5서366', '수': '5서366'}"
238,BIO3106-001,BIO3106,1,생태학,3,3.0,전공선택,[  0   0 112 112   0   0   0],조강현,상대평가, ,4.0,생명과학과-생명과학,"{'수': '5서366', '목': '5서366'}"
239,BIO4101-001,BIO4101,1,학사논문설계발표,4,1.0,전공필수,[0 0 0 0 0 6 0],이한솔,Pass/Fail, ,,생명과학과-생명과학,{'토': '5서366'}
240,BIO4104-001,BIO4104,1,응용미생물학,4,3.0,전공선택,[458752      0 458752      0      0      0      0],조장천,상대평가, ,5.0,생명과학과-생명과학,"{'월': '5동506', '수': '5동506'}"
241,BIO4105-001,BIO4105,1,노화생물학,4,3.0,전공선택,[     0 459648      0 459648      0      0      0],"민경진,이혜연",상대평가, ,4.71,생명과학과-생명과학,"{'화': '5서366', '목': '5서366'}"
242,BIO4205-001,BIO4205,1,바이오의학개론,4,3.0,전공선택,[57344     0 57344     0     0     0     0],손세진,상대평가, ,1.5,생명과학과-생명과학,"{'월': '5동506', '수': '5동506'}"
243,BIO4206-001,BIO4206,1,식물생명공학,4,3.0,전공선택,[64512     0     0 64512     0     0     0],윤진미,상대평가, ,,생명과학과-생명과학,"{'월': '5서366', '목': '5서366'}"
