,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
976,EDC4108-001,EDC4108,1,교직실무,3,2.0,교직과정,[      0 7864320       0       0       0       0       0],이영주,절대평가, 
981,EDC4109-004,EDC4109,4,교육실습,4,2.0,교직과정,[  0   0 240   0   0   0   0],이현우,절대평가, 
1055,EEG1521-001,EEG1521,1,영어청해연습 1,1,3.0,전공선택,[14 14  0  0  0  0  0],박선주,절대평가,"영어,English"
1056,EEG1522-001,EEG1522,1,영문독해연습 1,1,3.0,전공선택,[7280    0 7280    0    0    0    0],성귀복,절대평가,"영어,English"
1057,EEG1531-001,EEG1531,1,실용영문법,1,3.0,전공선택,[     0      0  57344 458752      0      0      0],서재석,절대평가,"영어,English, 협동학습"
1058,EEG2521-001,EEG2521,1,영어과교육과정및교재개발,2,3.0,전공선택,[57344 57344     0     0     0     0     0],이소영,절대평가,"영어,English"
1059,EEG2624-001,EEG2624,1,영작문 1,2,3.0,전공선택,[112   0 896   0   0   0   0],브로케티,절대평가,English
1060,EEG2624-002,EEG2624,2,영작문 1,2,3.0,전공선택,[  0 112   0 112   0   0   0],브로케티,절대평가,English
1061,EEG2631-001,EEG2631,1,영어발음연습및지도법,2,3.0,전공필수,[  0   0   0   0 126   0   0],장지원,상대평가,프로젝트기반 수업
1062,EEG2631-002,EEG2631,2,영어발음연습및지도법,2,3.0,전공필수,[   0    0    0    0 8064    0    0],장지원,상대평가,프로젝트기반 수업
1063,EEG3327-001,EEG3327,1,영문독해연습 3,3,3.0,전공선택,[   0    0 8064 8064    0    0    0],서재석,절대평가,"영어,English, 협동학습"
1064,EEG3370-001,EEG3370,1,영어과교수능력계발,3,3.0,전공선택,[64512     0 64512     0     0     0     0],성귀복,절대평가,"영어,English"
1065,EEG3706-001,EEG3706,1,영어회화 2,3,3.0,전공필수,[896   0 112   0   0   0   0],브로케티,상대평가,English
1066,EEG3706-002,EEG3706,2,영어회화 2,3,3.0,전공필수,[  0 896   0 896   0   0   0],브로케티,상대평가,English
1067,EEG3731-001,EEG3731,1,영어학개론,3,3.0,전공필수,[     0      0 516096      0      0      0      0],이현우,상대평가, 
1068,EEG4347-001,EEG4347,1,영미희곡교육,3,3.0,전공선택,[7168 7168    0    0    0    0    0],박선주,절대평가,"영어,English"
1069,EEG4405-001,EEG4405,1,영어과정중심평가,4,3.0,전공선택,[7168 7168    0    0    0    0    0],이소영,절대평가,"영어,English"
1070,EEG4406-001,EEG4406,1,영어교수법,4,3.0,전공선택,[     0 516096      0      0      0      0      0],성귀복,절대평가,"영어,English"
1071,EEG4805-001,EEG4805,1,영미소설교육,4,3.0,전공선택,[112 112   0   0   0   0   0],박선주,절대평가,"영어,English"
