,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
2754,STS2001-001,STS2001,1,통계소프트웨어 및 실습,2,3.0,전공필수,[57456     0 57456     0     0     0     0],조민호,절대평가,통계학 주전공생 전용 분반
2755,STS2001-002,STS2001,2,통계소프트웨어 및 실습,2,3.0,전공필수,[458766      0 458766      0      0      0      0],조민호,절대평가,다중전공생 전용 분반
2756,STS2017-001,STS2017,1,통계분석방법,2,3.0,전공선택,[  0 126   0 126   0   0   0],조성일,상대평가, 
2757,STS2018-001,STS2018,1,확률론,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],조성훈,상대평가,통계학 주전공생 전용 분반
2758,STS2018-002,STS2018,2,확률론,2,3.0,전공필수,[   0 7168    0 7168    0    0    0],온일상,상대평가,다중전공생 전용 분반
2759,STS2019-001,STS2019,1,통계수학,2,3.0,전공필수,[112   0   0 112   0   0   0],박진호,상대평가,통계학 주전공생 전용 분반
2760,STS2019-002,STS2019,2,통계수학,2,3.0,전공필수,[7168    0 7168    0    0    0    0],박진호,상대평가,다중전공생 전용 분반
2761,STS2021-001,STS2021,1,사회조사방법론,2,3.0,전공선택,[    0     0     0     0 64512     0     0],신창운,상대평가, 
2762,STS2041-001,STS2041,1,자료구조론,2,3.0,전공선택,[      0       0 4128768       0       0       0       0],홍명덕,상대평가, 
2763,STS3004-001,STS3004,1,실험계획법,3,3.0,전공선택,[  0 112   0 112   0   0   0],조민호,상대평가, 
2764,STS3005-001,STS3005,1,수리통계학 1,3,3.0,전공필수,[7168    0 7168    0    0    0    0],황진수,상대평가,통계학 주전공생 전용 분반
2765,STS3005-002,STS3005,2,수리통계학 1,3,3.0,전공필수,[   0    0 7280 7280    0    0    0],박진호,상대평가,다중전공생 전용 분반
2766,STS3019-001,STS3019,1,다변량통계 및 실습,3,3.0,전공선택,[    0 57344     0 57344     0     0     0],조성훈,절대평가, 
2767,STS4034-001,STS4034,1,생존분석 및 실습,4,3.0,전공선택,[  0 112   0 112   0   0   0],온일상,절대평가, 
2768,STS4041-001,STS4041,1,베이지안통계학,4,3.0,전공선택,[    0 57344     0 57344     0     0     0],조성일,상대평가, 
2769,STS4043-001,STS4043,1,데이터마이닝,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],박헌진,상대평가, 
