A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,중점교양,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,중점교양,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1004,철학의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양군(외국어1)(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양군(외국어1)(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양군(외국어1)(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1041,한문 1,3.0,1학년(1학기),계열교양군(외국어1)(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양군(외국어2)(택 1과목)
